,user_address,ens,time_since_first_tx,total_gas_eth,number_of_txs
159,\x07255a325762a65c8a1d30a39121bb65cf8cbb69,,8 days,1.6726,64
160,\x0729972590889361b0c59cc0df4e54ff02109596,,55 days,0.6739,22
161,\x072ba644c4f0a1d19f7cbcb8344d6184ba030795,,2 days,0.2516,16
162,\x07593e7a9cf21631a606026e8378916f1332d22b,,79 days,6.6475,214
163,\x075eee2222a0fe424740792af55a1c6c87d43761,,135 days,0.8077,112
164,\x0767e7b07fe3816d69e8ae9cce87b011af0199ba,,161 days,26.3362,404
165,\x0775a23372a9a1572b2138f0eb5069a60f6b8b05,,129 days,17.7151,1206
166,\x0775ea2a88db33038c4069e41dda8d963b64c2a8,rkxj,631 days,88.7295,4472
167,\x077a95ae89fff9a56bdf86d11a358576b1a4cab0,phizz,417 days,1.8787,148
168,\x0799442ce0f90f8837fdeece82cd2735625b4bf9,,348 days,127.9991,4002
169,\x07b994cddd2767dec07b8955f641d49d1b813ada,,23 days,0.6311,16
170,\x07c5ea539a54318780655b7a74fc379f3f37c7a6,,195 days,100.2117,2190
171,\x07cbd4e4473140b6078aa987907aaff5e500b9f1,asherah,251 days,3.232,500
172,\x07cc3c2ece8a0d83d71f9f62d70731c5392f5c29,cookwallet,94 days,1.4309,73
173,\x07eedd5cc72fd70250e3150a86f14e4fb65dd84c,,162 days,1.7417,52
174,\x07f540903f9ec92ae3bc85a91742fa272da32618,mufasa007,114 days,15.5025,982
175,\x07fb5409b0858ec5b938e2ded927e7bb630fbcdf,doggpound,64 days,1.9728,79
176,\x07fc676a307f41dfa7e53b285cf87305b9ab940a,,39 days,3.2439,32
177,\x08046e2349017615d53d3977c307d39ab4eeb3cf,maxnaut,104 days,13.0833,789
178,\x0820f4612c4f657354ee9b30008ed307a2bceea7,,45 days,31.771,573
179,\x082767ae42e09b5817703969a86fff77a38f1a52,,31 days,14.7413,685
180,\x082c13ed6d6d4b023b63a45d3732d69c06d2bc77,,191 days,0.2618,26
181,\x084334dff715245ee583d8042d567579fe6ce52c,,27 days,0.8468,39
182,\x084d8d6dc55a2e6b11298034a086af4b760ece36,,24 days,0.2025,24
183,\x0866e68b37cec2517a7db3b26bdce0d7f5ca8cb6,,74 days,5.545,308
184,\x0871e6872f0cdeb32eb013648a76575b4d2dba80,avikpatel,1407 days,26.7145,2290
185,\x087e282f6275538ed99b1e7df165eddeb745f3a6,,74 days,29.7941,753
186,\x087eb5f015c623c32ae4d71a8cb20a9ea166355e,,167 days,0.9782,106
187,\x087ee66cc7914c20b49ab2a2de3cfe3b08fb18f2,ponyo,316 days,11.6519,461
