user_address,time_since_first_tx,total_gas_eth,number_of_txs
\xddeaec88e4a183f5acc7d7cfd6f69e300bb6d455,291 days,14.5781,1343
\xddf14fa3e1bf3881cd6ec491f0ccf3d1389a78d4,102 days,3.3715,317
\xde67c92c7281de52097880412ea2dc2f85e578a6,145 days,4.8163,622
\xdf164e683920b376d1991a4149ad2f4155ac773b,1217 days,7.7350,1509
\xdf3c160116e1cf9ba92b9c4b9329755cf0d4fd20,143 days,1.5293,283
\xdf67d679c714f74f53c65336a347e7414fff2077,105 days,0.3599,48
\xdf95fbc8ea6fc29e38bd6e9dbf8f867b41716d13,99 days,1.4681,139
\xdfbe1cfd385637c7d5f9f04750ce1a425f9e7c90,4 days,0.4682,8
\xdfcd9df8cf96fcef21b111deb73f1de5be1df9ec,269 days,1.3123,413
\xdfdb434b6aec40240f06afffd085e4fc4990d8e1,182 days,16.8834,946
\xdfe8beee223412f316baf2968b17527d6eba29f1,1335 days,5.0214,296
\xe0719af1123a4f6beff552d5fb963cb278ca1ae2,107 days,0.7067,74
\xe0842a417d2e9af9e118e2c56251962209f0ac75,111 days,4.5808,142
\xe0cf26296cf333905b2275a438f55a92ed6e6111,109 days,1.2914,271
\xe19558d2b3fabb5c045ddf3b44dc15de18e9cd20,1448 days,0.8752,142
\xe2008ef79a7d0d75edae70263384d4ac5d1a9f9a,256 days,38.5627,2926
\xe23b0362c0467f3193ba2f11ba988a2144e9e8de,92 days,0.1094,10
\xe2886e107d910c8dffa91b89741443f08e756fd9,1448 days,2.0861,171
\xe2a9829ed811d0253de26216a36f301f57bf9ffb,711 days,4.2136,90
\xe3454589b7859dcc77d58d18408bdf70fae8a7f0,91 days,0.6689,100
\xe3f6ee431d882b722fa4d1d8fd2a0749426dbfea,1204 days,1.4947,143
\xe4875b06d887b88b649550adbab8c387742f2617,382 days,28.0748,2076
\xe52ee356e4320dbc467d72a5e7931c1f24be2912,1317 days,2.7692,278
\xe5ca890a0ef2f128eb3267e4711c6bf3306ec024,190 days,0.4778,59
\xe72eb31b59f85b19499a0f3b3260011894fa0d65,244 days,50.5481,2914
\xe758bc7105dade261306ec67805fd5c489476b4d,11 days,0.3588,37
\xe79870deaae91a6f799d2f70daa4786190660a00,39 days,0.5754,19
\xe7f6222a25aa426a50090011ccc5781b9c442a76,87 days,3.5424,350
\xe828c200895ea187e6a3eb1d8ce25fb12eaaee47,20 days,1.1379,18
\xe8b15352c8b5ba4acabdc91907b742fc7249d91c,813 days,1.6126,119
\xea0591576bff20c6cd220f0dca550eb7eb9fd077,12 days,0.2298,21
\xea94c9a3bcc2bf5a3c08e3de1ccc64c6b6049710,1040 days,4.4701,344
\xeaab59269bd1ba8522e8e5e0fe510f7aa4d47a09,136 days,3.2450,564
\xeb9b233fd68f7d3aaab71198981eeecf52ce8d33,54 days,1.7484,337
\xebf02c6e12c3ee119abba161c40bfeead0a06b15,493 days,33.5883,1742
\xec6d36a487d85cf562b7b8464ce8dc60637362ac,1465 days,5.3761,883
\xec7b7a7d8e5427e38c1cf57488c1d652924ff65a,65 days,11.0161,938
\xec95ff44314a3f207c4d245d6552ca79ec4f3eab,26 days,1.1315,186
\xecba5f51925e6ccec26da38dcd7d5305f6bdfbcb,1108 days,16.9256,1255
\xed0f30677c760ea8f0bff70c76eafc79d5f7c3c8,270 days,5.3307,288
\xedd57e31d42ebea0150f3a02a4836258fc420035,55 days,0.2021,29
\xee6b47ce06976c9d29787e2b9f2802717117955c,116 days,3.7338,321
\xeeaf61935c0c48f8f8cc28c381683d7fa2f75e1c,185 days,5.0025,440
\xef7935913857a6deb46c609d54381b9960396771,373 days,2.5726,228
\xefcc4c68e1ddfaa4f0fa3a7479f0fb082f96a56b,1229 days,11.2332,670
\xf0ca0994677d8ab0a08bac6d2d3b367a3fef3a5d,2 days,0.0859,2
\xf16776a9f956b8380619cafe2d86eee69d539149,5 days,0.9116,76
\xf1fa9a38914e853de933fbf7df2f278701e873df,1344 days,10.9579,11667
\xf22b3e9fdfac016fa197c2326c84657ba4f78f78,342 days,26.3049,3208
\xf22d36502069b9381b51eebc1c4820c4bebc660c,48 days,0.8021,77
\xf29155745c8ee222d4f7d6a2a7a50c1901f27de2,530 days,24.1436,1386
\xf3f050d61191ed22e35e968366c664f793b9720e,185 days,1.7368,70
\xf486d56cce70c481b3455af901fcc4f03fee8107,350 days,30.9375,1955
\xf522f5ee6363ecec55e93c07103ff87adf841c86,92 days,4.0770,132
\xf5c1d55e94726962b4b517c949120c42d646e455,219 days,6.3464,730
\xf5d63f15fd8981c86216c5a75d1c33824b35ea7f,207 days,1.2267,81
\xf73dac1d2c0c3027b9ee18735c311962e105a4f9,194 days,5.8196,285
\xf748879edbe8cca140940788163d7be4d2a2e46a,658 days,62.5528,4267
\xf76d6fc1f8fecaec5961f7034c25163a22851e77,127 days,0.2534,36
\xf7b3210147bf2b2104111eb56805f1147b31877b,53 days,2.9377,168
\xf873bebdd61ab385d6b24c135baf36c729ce8824,141 days,12.9622,812
\xf9107317b0ff77ed5b7adea15e50514a3564002b,698 days,59.7665,5513
\xf916719c7251e109cf3d1a977b6cad198b630c32,176 days,18.9517,720
\xf9c1b2f3c31b4c5c0ad9ae02de0d7a912987d920,24 days,0.7236,95
\xf9d5c9a7200e1ac4a0fd41b2a3d28ff5cf3f2284,1391 days,2.2133,368
\xf9efb357cb7732f5fbc1e19cf9c0f1203bdbd978,111 days,0.8748,219
\xfa026c350b192aa6a19e750cb3a1c46a942f0388,117 days,2.7697,497
\xfa15a0a2ad06aececbbf8e2307512bb90e08f7d3,133 days,1.8771,146
\xfa42d7f197f2793cca274186a4bdbf6ade5a8884,37 days,2.9330,423
\xfaa14171ce8d8dd7b5d62955e05465b40380fd07,86 days,3.9810,395
\xfaaa79ed017a66f19bd08161a2ebd215150758c4,22 days,0.0947,13
\xfb2877aed47c2eb6d2407fd62d9c11966f922675,19 days,1.5325,11
\xfb6223ea050a0956cdf294129a00f66b5ae4f5a5,1291 days,7.2469,393
\xfb628282516a371d4da2510baa792dc4cae8c6f0,88 days,3.0696,203
\xfb77b72e5ead7ac452deeabb39919a717a5b77d8,184 days,2.6275,376
\xfba9bd0c06a8d28bc6356a99212658676a6f0d00,102 days,6.3380,209
\xfc15a26da9f96b88f8fc74ff0ac6e507d5edd874,92 days,0.4019,33
\xfc199e896bb4a153046bacb8b3c3170079190705,49 days,0.2543,41
\xfc574113c3db18f57c6975e432b8eb8455cfd806,38 days,0.2991,62
\xfc9dd877930e9799beb663523bd31eefe3c99597,123 days,9.2716,1314
\xfd04340f02398520296be10f785e6ee1f0f36b85,1224 days,8.4155,525
\xfd1b8d2b036f7c78a794be2c6f9ba4de698459e8,69 days,19.0317,588
\xfda3949290b2c11ef93e4058c541bd3c9063b5f5,00:00:00,0.4363,5
\xfdb16a768c4d41d7c0e1e5f5ce1d3c8234f6db0a,238 days,2.4458,142
\xfe274ff2846a414e690606c2ed2ccc4ad6bb9c53,91 days,8.3113,415
\xfe6296682659ae75be8c5f3c594556a34277043d,11 days,0.4929,21
\xfe7f540c7f563b60fd7f676569d10306f629567b,15 days,5.2432,40
\xfea6145aec3832672df239639fbc1db273ace241,163 days,3.2963,332
\xfefbdd71f3a16a251d08ac1498d3224964a65aae,37 days,0.4016,18
\xff18f894daafd7588397fe83544e08c2756771c5,95 days,1.9147,33
\xffedcdac8ba51be3101607fab1b44462c3015fb0,1267 days,8.8515,896
