user_address,time_since_first_tx,total_gas_eth,number_of_txs
\x50381e2e6e370c43411b14b823d9ce818009d6aa,164 days,3.0288,224
\x5084b1fdd0ca3ffb91ee36787958042729dba95b,00:00:00,0.1712,4
\x50f27cdb650879a41fb07038bf2b818845c20e17,406 days,54.0128,4151
\x514fc379b4ae674f74dac2a266aff608a9b6507f,153 days,15.4984,1058
\x519ae0c11f21f217ad4a7e4eb09e3bbe0e8ffd9d,184 days,3.3957,425
\x519e4ae43a8a1333546c377aa23d804aa3573082,132 days,1.2725,47
\x52149d18039b037374e2aed5211cd649c6f39d1c,37 days,2.0751,44
\x52621f9243467a6660f4a3e07c5f47387096499b,37 days,0.7641,27
\x53183366e82791472db5ce42aa8efc240e29c439,141 days,0.6556,58
\x5333c1d733794e02f34d5f0d88c65d03fd2e4db1,633 days,5.1589,1007
\x53562e8ecee54356dc89ad263a444528b34d6c80,1251 days,2.0630,133
\x5362f0c85949a844405953651174462552f47852,26 days,0.6107,31
\x537038d516e7e71bff78a555799ce0daa01e79a1,134 days,6.3398,608
\x538b33cbbb5786830eac45c4223962317ccf0559,26 days,0.3528,17
\x53c38b0884e47b4c6ab2664273e7fb92b0a1fd7d,8 days,0.0934,15
\x549022ad5cd11816eb7ce6ea15ae61c1fb4edb8a,1533 days,3.9385,1836
\x54d081a19c38dae482849383e9aea557194f041c,20 days,0.2451,10
\x54d867a2707db87f751bb8f5c8c966eac692bccb,53 days,2.6581,71
\x5524a7f69cea753e07b2919789c19236ce8fe309,6 days,0.1717,8
\x554e0b456a38885501d519299ef0d0ba9715d0b1,1 day,0.1811,13
\x55cf34223929a9d893c1ea402735a3a6fc6e5f74,237 days,9.2744,522
\x565d4ed31234bc0562d30442ac79c266c93b9356,10 days,0.7422,17
\x568b491fb2b4b9440f6d05e7723df0060fdaef1c,115 days,2.1104,352
\x56950d575790b271b9a4f0d0adeef5caa424c83d,321 days,1.7320,647
\x56f190a1babbb155ede204c8d20b3a15023810bd,123 days,1.2780,189
\x585071b869f3a82660f5502a55eabae41657ae71,12 days,0.9901,24
\x593066bc91d6680276cd6a1973666bc178dfb032,356 days,19.2183,2095
\x5943111b15348a57f314c4a8f04ddd21d2863ba6,185 days,2.0246,62
\x5947289afe935715d88f829bdcbdede3bb293a5c,4 days,0.0901,6
\x598fdd699c874440ebd31fdcf5cffc1500735a9f,137 days,2.5693,243
\x59957e6b58dd78e9d4ec60a144cc8531b8a5409d,123 days,5.1126,274
\x59f1875986a5eac58bf4959789fd5a3a3cb36c6e,142 days,8.3701,986
\x5b197894cd1942ac6f7ab48a1f5ce38d72754b85,223 days,9.6254,971
\x5b1e7840e97dae8b716317965534fadb490580a1,315 days,11.5423,936
\x5b87316faad8eb2e73b9d617cbe26a5effee82a6,37 days,4.7765,150
\x5ba02f4ff6af1d9d2af8774d10fd32eb57d4e2e6,1196 days,1.6023,204
\x5c4e18ecd3fa9d828ed94d922949caf9a383d5af,118 days,0.4512,40
\x5d18c78f374286d1fa6b1880545bfad714c29273,93 days,4.8570,651
\x5d9e720a1c16b98ab897165803c4d96e8060b8e4,1138 days,17.0297,982
\x5e2083c8a7ec9f90659e7d8cee0e28c82782a8ed,143 days,3.1059,436
\x5e5bf4de97ca0430bd2fbfe158f80a20b28bd46b,98 days,2.8276,193
\x5e73b3e4bf70cbcedb55302b50b92f8f8e193a1e,1222 days,4.8365,247
\x5e818f5824a524151bef611d0709c24845a8f409,95 days,2.0693,56
\x5e92a45225c3925b6180b8672a3cf5dd75bcc4a1,181 days,18.1933,996
\x5eed1f9c61521aee51eb46fd809f865c2ce93044,515 days,6.3759,847
\x5f08e87fe0c3254ef2aed5088810211c8e0d453a,143 days,2.4819,49
\x5f7f97063405ecb088b9b69e4253c84d4e20e5d4,126 days,1.9706,327
\x5fd2c02689d138547b7b1b9e7d9a309d5a03edcd,154 days,13.1338,640
\x5fed250b651fcb0de05de4d314347a69ee87fd87,55 days,1.2436,153
\x6004df4a6440d89643cc8c37871d5c79745ab711,78 days,2.5723,56
\x603a8fd9c4d35dd8ddd41fc8a0d711777334b3f1,406 days,32.7547,1980
\x612dcafa236688a1a31edf8a642917ee19473529,14 days,0.4258,21
\x613ead0ea5af374af0ccfc117ef116a8e8d133fe,9 days,0.4499,104
\x61975197c00ea675d8d187d3686e9774723abb01,151 days,3.5165,88
\x61ff4155d462e1630732da7d8e8f9929d50c72c5,63 days,1.6089,90
\x6301add4fb128de9778b8651a2a9278b86761423,1509 days,51.1133,3157
\x630ed30f52986a8e703c1c7bbc8521f8efd8396d,162 days,3.6623,381
\x63244b5f1ebcb999ea012da652dffee6653bf8f5,1069 days,46.8756,4143
\x634775efe2d77ff787fa843a57e752b9bd515f41,363 days,33.4855,2189
\x6396ef1c07949476aabae95c926872ba2dacdcaf,162 days,14.4092,439
\x63b68bb63da1b7363d452dc67e97a4b4fe737c09,153 days,3.6356,216
\x63c8e1155e2be1e10041ff56625805abcf1fbf9b,89 days,8.8271,793
\x64e93bbebec391583e02c0e9899b4a518e7dbba5,18 days,4.6294,159
\x6582cd7cbf58a980530e33fb70c3da42336827ba,115 days,0.7635,20
\x658a92fdf5ca5a7fc744178dd34b11bfef7d0ac1,151 days,1.1436,35
\x65d83f573be72998ff0b798e4a3f54f0ced4ee97,163 days,1.6755,179
\x6699dcfe295244bfbd3e466cf9da71ccf265377e,163 days,5.2671,471
\x6709b6c55bd565b63248acc3f98c6e194598877e,21 days,0.7334,83
\x67444dbb734f0a03dacae001e754b0bfa971c68f,36 days,0.2848,50
\x67f613cb715025abedb78acc1491fb8b015cd286,134 days,8.9141,993
\x6842711028e6bf756f52ff9b4932ea10ac734024,20 days,1.2595,22
\x686c166ee7fbd9d9c2c11bad89f5e5d6d989e1cf,19 days,1.4587,13
\x68743c21e3f1dd1a7119d12f6b261382dbb62037,156 days,0.2621,33
\x6993d30333a480a194a72e3eeb48cde20674786a,37 days,0.5157,23
\x69a32cf77a1a3ba6c948f81355d6728614ae6a16,4 days,0.1228,3
\x69d95ffcece36dc3f2e9f5e42eb270a0bcd98665,2 days,0.0704,5
\x6a7e7af288d6679a786e7e3df23208950bda2f8d,168 days,6.4626,444
\x6a7ea8945d0cdb9b53030f63b4b26263e4478c8f,319 days,51.7432,5411
\x6a9da9c45d8758956821559ecb697411abd13eca,86 days,1.9456,268
\x6b11daed631b0b7c58cfc28893872b75c007aa5e,799 days,2.6436,310
\x6b20c61304e92314be6ca414ce34ffb62d03e381,4 days,0.2160,12
\x6b611d278233cb7ca76fd5c08579c3337c01e577,78 days,6.4099,583
\x6b630858d23a9d040aef6b712a90cc0e09c726dd,88 days,4.4195,216
\x6bc3e4590c506c6367eb3bac5f02f7c4c03ad005,735 days,11.6793,294
\x6bd4a8d3d91c59cdd3af19526f48deb01321cb67,123 days,4.0185,196
\x6be3c1db95efd407d4f77b29389843e7c557f051,380 days,20.2698,1263
\x6bfd74c0996f269bcece59191eff667b3dfd73b9,1376 days,1.6875,130
\x6c1c9fd24825f85baf191d4ff19b46d18bc056d7,95 days,5.2827,452
\x6c7de01cc27104709f6204ceb547ec0d33beccae,1512 days,11.6798,1870
\x6cca010eaca114260e45c2ec96c703b487581e4f,59 days,0.4589,71
\x6cfe9755269786f6681518c00bd22801f98f9e57,406 days,23.5557,1644
\x6dc1567f4494c7ea9b546c29af3091963214f038,00:00:00,0.0757,3
\x6e53c70126831ebaad14aa76830c659fc73fee15,37 days,0.9447,181
\x6ea71ce756bcaa7536e765b0aa15cb1ae706ef7e,18 days,0.4728,32
\x6ef2376fa6e12dabb3a3ed0fb44e4ff29847af68,943 days,35.5225,2753
\x6fac5ca3a8a7f53385e87a1e7e683dd7486afc3b,190 days,4.1195,452
\x6fbb5268d691165e2dbc691a11b098680901d773,51 days,7.2614,411
\x6ffcad0e1ba3a8be68f0b8449ca1430173a3c451,92 days,3.9188,363
\x6fffca5fa620cfea86b6160447562d7a3ce9d057,357 days,2.6940,241
\x70448fa6dd61fb3f94b806d5def4e5e8dbef7ada,318 days,5.2920,840
